title,price,total sold,link
Python Coding And Programming: Start to learn the hard core of computer progr...,$17.59,5,https://www.ebay.com/itm/Python-Coding-And-Programming-Start-to-learn-the-hard-core-of-computer-progr/402286316606?epid=25038777643&_trkparms=ispr%3D1&hash=item5daa220c3e:g:WGwAAOSwv1JfBn0c&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkTboA95HSvGa1O5UmCCGJLmaHUU4mbgDOY7EFttFIzKbFs7%252Fjmdg9QR5KMMprmQaxSNXCDQXKE6zrLA1UnT%252FzoID5rqasvU90QH7eOyLVJ%252BOZ%252BOeZsXuekorxreAFh7cafr1PZieYj1W%252BceRNOitcBB%252BF0mmIBKj31CZI7VNlKNVYnzLSZnDjEBwrUh95ywtZvC42nUcOTk6fBc5wDS4h14RnNesn4%252BYvuzHBO2GbQv5QzsIFdYW6D4%252BstqMreq7Cr8pmAg7J2Ykfr30RNy%252FwgOgWBD0zz4ORNOHGYNjUc%252FP5j7infRwQ7ccyPwn2MQXEyJSZmaBlLSgztPUOHgsZy0n9cfc2cpceT6sUvnr4c4Z5B9ALyxstxzLldvzkpzJQKUmDy1lDVnsqTCBmNwZLeRll0MQFToNp7G9%252FiTUjGpa8y5Es3%252FXSPrls0mJyGfueywY7g6TnMxkIqiyKs05BZLy%252FeAiJFAvSGJtVHD4E7c5jX%252B51H4WYwmTBvyiCi43iZuYTm2BsI%252Bjueu3E9nYGH62lnML4XfUUJTRLvWsjaOw6OG964pWcfPiHlhd3UJhVjkoQAN5tbHpAJ1eUiv8tvaaSfCqqFyeFbXR9AtSgjYq02S0F%252BqHTYQ8B5zNbteV1VdhPXWKKH98cyCU0rFaMROskyZrUtSPGiCRvcb9SEAxoDsWFCYzWl0egCvqHKSiyIa8eaa%252FZdAi7ZMdov5Pry1KGa3nx9rtHUq0coXbplLAd%252FbtUyRnra8U24TXsrCHf%252BPD2CwVnXZlpjc%252BbTu7KmA%253D%253D%7Ccksum%3A4022863166069d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
Python Programming The Best Guide For Beginners  Get Started get one free,$1.99,0,https://www.ebay.com/itm/Python-Programming-The-Best-Guide-For-Beginners-Get-Started-get-one-free/283802264958?_trkparms=ispr%3D1&hash=item4213eee57e:g:Xe8AAOSwFz9eoM-i&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk7PdDazAlGltMLJlUhrWsD12srFmYCMuM%252FJ5xG3UAax0tx2iISGOXbrWEOXKDABWOJccdByJJQa3IwUE69ajoEuv%252BZdGg%252FIe3EgDg8mGjPL79a1wG%252FkOIUFshFBl%252BmJxd8XlqoVtcfoV0dXuQ85ZZf052em2Qzobbsyu7OOaOIwPZrSSexj5T2kPKEXM6fl%252FEhUFRAL3Lk6Fa6uYqWcDd5EoN6hx40jAnB%252BzRI9mgsG9c6fPNUQBdPeR2iF9vVZGOvGGJ0JQYDT3CPrtVGfL%252Be8vCjGniJkKb8BsYr3LAM1uJnry8XtonHXE1gPccG%252B1g0y0rDbssz3ECwwMhG%252FoC61Bo%252FSd6vyxOZuB36rgXAPEOypbPvkpINCrOdP8wqJxc7mzduMDZlClU7Y7Tj2LxmyJKFVuuaCAJvadi5hyVMssQYnCNTG3xpbfxecu%252BbNN3bzlAwaW7LXJxuW5DxmRchcOq%252Flxuo5Yklyt0BIwX%252BmmbJqGqQHdae3Z%252FJecFhrytkXehcdfthzZMYPvvq%252ByJG3hyU0LH8FpRr%252BSaqfqSaig0JrAeGrIM7GAcQKnJerHizaIYEqn3bV6WxdprLKXrezyzI9LDi2UDyQSZ4yCdgaO%252BtilmK3DTJwLcoYvIv%252Fl1Py3tslTAtHwpMo5%252BnL2L414pZ%252FN4WwMn%252BARJFkBrgpI0JrFL%252Fy6gStnQvpZ%252BjZ30vlV%252BfuJDk5DE1%252FRB%252FmVMN95rGviKfwSNQf5kmkh0uG1kCP0vszANnnfoOS8EwlYBjFt%252BDt1AvOjeVHOxnI56Hg%253D%253D%7Ccksum%3A2838022649589d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
"Learning Python, 5th Edition, Mark Lutz",$29.00,0,https://www.ebay.com/itm/Learning-Python-5th-Edition-Mark-Lutz/184485937139?epid=159818827&_trkparms=ispr%3D1&hash=item2af437fff3:g:waUAAOSwjHBfhNXt&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickk8Fd9si%252FIbtWQr%252BhnlRwjDaWflNTX%252FwaZBB4bc7bKSlRtZsQ4EDsUaQw2zAeOUioFyLREQ2GntUL8gdM60Gem3%252FGaXUdXihTTAyT%252BK6B3Zj%252BfwrPHp75NyCleGS4rxvx9hSSJOpn31MTi4miH1Os4%252Fq1M6NiG6oTAikrONenoNblnNA6AAjqF%252BIT3b2dXRpmlIL1zvoMEID7oCod9pnM764Con93fDJVDsXVeq1TBPpymcRwRMcQ%252BYpMM%252B10EWoMJbKmS4lFCbgcWhoA9MTyZAgoTk0%252BCME3e1Suu49pr8CGJLI5StCnRnFfGgf3BNh%252BLlF5SFR90gAAduZW4N4Ewi8H3yzOwEjdiT7W2322DFjwLAVqW5HfUeBh7OmHlHfqG8WuIsEOU6YUi4NmT%252B8AHCv%252F0pm4wz9W7toK0Q%252Bide%252BMpqJGETad5DEP3fdBL0AY6srdC42VspdX6K4DZcMwhfkBk8%252B9TB%252B6OGOTricFMon36yKQicEkTPsIejhN7rYnPY%252F0%252B%252BuBKmcQJIyj67PPFykOQKDWD6AIPzDVdWQTarmSUdeCLJZlyma4WWjIsmAzneEuGF9m0esC1ZBWXnfnPGvdYXQS5ElxzUGIo0PYeaqTkY%252BEapChNLCGv3R0OWXItR3ArJnwvJCW13QSqIN2kP69EoFDUmr%252BuXjDO%252B2mTvOUg2WL12ZW2jH7QnKBFU3pNqqwZYddWDTfsRzSP7%252FEUxstgnOA5Jf5UXDNoRNWNmaZknT%252BRA4Qvbuf33G3s%252FPS9tBMIW4TFf29ARC4g%252FwyoVA%253D%253D%7Ccksum%3A1844859371399d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
Python Programming: An Introduction to Computer Science - Paperback - VERY GOOD,$6.74,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science-Paperback-VERY-GOOD/274277594357?_trkparms=ispr%3D1&hash=item3fdc37f4f5:g:o2kAAOSwj5xfNV1Q&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrMTBeA5TmWzjGvIUPhr9f4mHYM%252FJyEZVYnb9%252FjVFi3bl32CQRuINVfiIpfiUSP69C0OQ7B42Tw0LJk9XIh%252B98Nbr4o73uLQHWVTgQaHx0jTx0gFQAmpElzLs5%252FWz73uekySdQm%252BeODe6nHlZt15Orlv0gVsNiEEbhFILQuC7oidOnNP0LyCF3HLSPqf578IycJdnrwKiZPo6AfytmgpnAmIpdtY3qJNdYYNdrJjqTiqYCjpo8r8wuELLnJzqm5KtGGgdI2lyB%252B5Mbv9de0PJaw1dUe3hC%252BeDArEDHWFJ3%252Bfme1FiFHyW01%252FJjD%252FpUJtgdEZ4uWi6CxSX1PCHnMyY5mV0dulYSRr4Z3%252F4DFPmJezwU5P0qmZKBPdPhnjlVfNOk4et7aEBedsFgStz2l8TqT2lzEjsH2FKDc8NU0MP1E3HTZyAKegUhWLWsf%252B%252Bd1smy220nreyqgD9iwUQhKtl9gUkCNsFHqA4%252FQ5uolpwgX08Wuk%252F8gWSDdYFDv2EumtljBkKMdlH9ux6pv94V8QxHV5%252BvMTfeh5rhDMymOFzeBg%252Bgglfadaj68bk0070ZtMwPnssQLowelfuCsbLGZ0TDBp6BN%252FKC%252BdkkLbVAaVm5SC%252F7JxWiLCanZBIVf2%252B9Pueiiouu7TErGRsQ7Ol75LKWKPAaq39aqFEclevKdMK771yb7rydWN1v8ZnQep3TgZ6luVY0TbYgroWFzc%252F0JXknYUcetA4D%252FWEOqIWHhB%252BYzuUyjAFIk8pQsyWwo6mExozDg%253D%253D%7Ccksum%3A2742775943579d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
Murach Python Programming Book,0,0,https://www.ebay.com/itm/Murach-Python-Programming-Book/154142880098?hash=item23e3a1b162:g:6hgAAOSwr49fh6ka	
Python programming: The ultimate beginners guide to learn Python language fundam,$9.99,0,https://www.ebay.com/itm/Python-programming-The-ultimate-beginners-guide-to-learn-Python-language-fundam/264897380990?epid=25038598855&hash=item3dad1d427e:g:92AAAOSwUUJfhOt4	
Learn Python Programming: A beginner’s guide to learning the fundamentals of Pyt,$3.99,0,https://www.ebay.com/itm/Learn-Python-Programming-A-beginner-s-guide-to-learning-the-fundamentals-of-Pyt/184487841050?hash=item2af4550d1a:g:YloAAOSwUY5fhvwK	
Python Programming for Beginners #161,$6.99,0,https://www.ebay.com/itm/Python-Programming-for-Beginners-161/373267539525?hash=item56e87aa645:g:SJkAAOSwla9fgvPG	
Black Hat Python Python Programming for Hackers and Pentesters,$2.99,0,https://www.ebay.com/itm/Black-Hat-Python-Python-Programming-for-Hackers-and-Pentesters/383765210649?hash=item595a306619:g:XhYAAOSwU~9fh1ED	
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,$19.99,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginners/203131976578?epid=201642099&hash=item2f4b9bfb82:g:TQsAAOSwHQVffhe0	
Teach Your Kids to Code: A Parent-Friendly Guide to Python Programming,0,0,https://www.ebay.com/itm/Teach-Your-Kids-to-Code-A-Parent-Friendly-Guide-to-Python-Programming/233746905464?epid=204321920&hash=item366c66b978:g:p8QAAOSwAE9fdfjU	
"Python Programming for the Absolute Beginner, 3rd Edition",$11.57,0,https://www.ebay.com/itm/Python-Programming-for-the-Absolute-Beginner-3rd-Edition/193693580976?epid=74227442&hash=item2d19097eb0:g:ivwAAOSwSlBYv1fa	
Python Programming for the Absolute Beginner #13,$9.15,0,https://www.ebay.com/itm/Python-Programming-for-the-Absolute-Beginner-13/353235070409?hash=item523e736dc9:g:zIEAAOSwRoVfhFLY	
Python Programming: An Easy And Comprehensive Guide To Learn Python Program...,$13.18,0,https://www.ebay.com/itm/Python-Programming-An-Easy-And-Comprehensive-Guide-To-Learn-Python-Program/184058869013?epid=237621156&hash=item2adac37515:g:QckAAOSwF9FfhcQV	
ProgrammingSeries Ser.: Python Programming : An Introduction to Computer Science,0,0,https://www.ebay.com/itm/ProgrammingSeries-Ser-Python-Programming-An-Introduction-to-Computer-Science/224194493953?epid=92388121&hash=item3433087e01:g:4dkAAOSwCRVfUADg	
"Programming the Raspberry Pi, Second Edition: Getting Started with Python",$7.72,0,https://www.ebay.com/itm/Programming-the-Raspberry-Pi-Second-Edition-Getting-Started-with-Python/363140134109?epid=217034702&hash=item548cd6b4dd:g:1wUAAOSwjKFZOM85	
Python Web Programming,$31.94,0,https://www.ebay.com/itm/Python-Web-Programming/383766092798?epid=2192924&hash=item595a3ddbfe:g:36IAAOSwdDpZcM~G	
PYTHON PROGRAMMING LANGUAGE: COMPLETE GUIDE FOR.. By David Rones PB,$14.24,0,https://www.ebay.com/itm/PYTHON-PROGRAMMING-LANGUAGE-COMPLETE-GUIDE-FOR-By-David-Rones-PB/202892378585?epid=11038769245&hash=item2f3d5401d9:g:5xcAAOSwiLZeMc1r	
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",$15.80,0,https://www.ebay.com/itm/Python-Crash-Course-A-Hands-On-Project-Based-Introduction-to-Programming/333754543173?epid=204248933&hash=item4db5522c45:g:NakAAOSwjqVZGzTo	
Python Programming: An Introduction to Computer Science,$6.99,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science/383732626451?epid=30224704&hash=item59583f3413:g:cU8AAOSw4CFYp-rr	
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,$16.50,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginners/154142584684?epid=201642099&hash=item23e39d2f6c:g:yssAAOSw4CFYqMhs	
Eric Matthes Python Crash Course  Book 1593276036,$19.49,0,https://www.ebay.com/itm/Eric-Matthes-Python-Crash-Course-Book-1593276036/284044199008?epid=204248933&hash=item42225a8460:g:NakAAOSwjqVZGzTo	
Murach's Python Programming - Paperback By Michael Urban - GOOD,$45.79,1,https://www.ebay.com/itm/Murachs-Python-Programming-Paperback-By-Michael-Urban-GOOD/264625772410?epid=237450192&_trkparms=ispr%3D1&hash=item3d9cecd77a:g:4X0AAOSw~dxfWojf&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkXKoKcbeZcOrOku%252BoOBl%252BS2B4bBVUWUlcf1cPcldkpRL%252F517W95I8m%252BTFYjYRTOnQ9692dptRE1zGcebnHon2TIYZnO7s8QK%252ByW6gMDeO1OcvBH9dP%252FYo1g6OMHP75HmfrXglBUcUAyrBweWJG5boxAq2Ukop2bupMykWapUSJondqhD7Bkke%252FJZVqf1b8Vh%252BobHgKLBEsCugSCvmLwCAEEJltL%252FlfwLYDMJA2ZxPhLq7kI75ickEqqkt8hQuSNw4Em%252B0gMab6C1F0Mw13H%252Bnu63y0z3GvR4dQaPaU1titfRsEgoEGIJztAFSYW9m5vh6iwvKjG%252F7Qx4uaK8mnK9uRd3dwHB3h9MGkRNVHrzasRHwYNAIJ0UKcvwnDUwzK7ZsnAKZVj8DngQ2AocxPqnOlA9ZrLwKHMXEkzjZwMz69vj%252FSis7qTseN8G7X1%252BL3S5F7uhfUkpwUebwMhxfTZxIjdls1evRIwmaMUbs4BtFk9PVzpaxvnYMvulLoxmFSNUg2fEPCBJtJj9Tk51M%252BvHIT%252FTi4Np0cOkzArG4QsVbrLXMXzXkA4ChmiWlR5ubrSbWYiHDMK15g8CxuW%252FRiUv5HVGJLLcIbq5V%252FUaWrKR9IDnGM8KsApbmoQyVG6%252FpLO4dD%252BfRb9r%252BisQ6tomq8xzhrmIdBOb%252BNgIhAnAPfM4EvhQF8DIndKUOO4UEsPO0YveNyYymUaUZMZ%252Fqfy2WaFXynAnKvEzDn5iPLry27eTtsazfsHfdAkMU6BmpHn%252B9gXj5IONR47KwKnWT%252BEuCtxbI1A%253D%253D%7Ccksum%3A2646257724109d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
"Python Programming for the Absolute Beginner , Dawson, Michael",$14.85,0,https://www.ebay.com/itm/Python-Programming-for-the-Absolute-Beginner-Dawson-Michael/392942877542?epid=2446883&_trkparms=ispr%3D1&hash=item5b7d387b66:g:5kYAAOSwl31ZeIfV&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkyMJZWL%252BqFSgQ3TOOe%252FNr7ht77kyLt3SKDsQIBPQAv4EsR0RmRUDJ%252FtVaA9o8oS07Wuju6Cv%252FtuyOWh7ahk8Y%252B43D21OfDS%252BfKfo0ArxCVGmBptw4tpvcrfBcIUDzzm4qYZ%252FwNImLTX1Z1B%252FC4GuGv6YZdTvwu6o2FuuWl6beEHuV4kA1PfzU5XxsDClSXplFP7LS%252BA6KIt5V4mool%252BILXfxTIpioz4rJatkA0C1lc2EjNCev7T%252BG7P009CdG7xEdkIitmpU5q3xZOAMYG8unIuAyqUYY%252BPJRjQ1VXP68r7zDKJhaZf3py%252Bbj53fxkaOAatLbsj6A%252Bz%252BsxgSZFxRQtmMmvXD3xpUkCoZszpSHBVgGk%252FxWiSRf6wykdUMZPDhC6rpzPfsWSf6teIBdtzTYZ%252BlKqBGbB52vQrpuLcAqiN%252BiAPI4xpiOljlJPiuiZwCtPQQSGSl%252FgNRnDvtkvP4ordTumI5ud466%252BsqjzFlo0EFenALIRohELJpyF7I3X02Um9BrAOYGH4SgTGjneHHF8cZIShKf%252F16ELhBeJ03SGg1G9mbQfiduRfA9MV6yGaDwsJGD7wj99CSD8kMbnS6aXN5sGZcg24wzAlOGy%252BfyJ4XIomszgY7TerUPlKeumnPyJ6gKyspxzWeyD6NA%252Bw7j3ZCmhwdsN6RDg3rVH5dBdMO2L1zTmp%252BVFHjuWYXKnpGGb0BVTDorA%252Bnr1oyVu%252FldYvMvhkIMzIr8tY%252BOm0ztqiIi7PLa1RbO%252BdkFT8FFjLirh7hHBTjMvoaDyn2rpLrv9A%253D%253D%7Ccksum%3A3929428775429d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
Programming the Raspberry Pi  Getting Started with Python,$10.21,2,https://www.ebay.com/itm/Programming-the-Raspberry-Pi-Getting-Started-with-Python/352934771196?epid=143655196&hash=item522c8d39fc:g:wbgAAOSweI9eH4Mz	
"Python Crash Course: A Hands-On, Project-Based Introduction to Programming",$14.66,0,https://www.ebay.com/itm/Python-Crash-Course-A-Hands-On-Project-Based-Introduction-to-Programming/363087539713?epid=204248933&hash=item5489b42e01:g:NakAAOSwjqVZGzTo	
Python Programming: A Step By Step Beginner's Guide To Code With Python,$17.98,2,https://www.ebay.com/itm/Python-Programming-A-Step-By-Step-Beginners-Guide-To-Code-With-Python/184058475405?hash=item2adabd738d:g:SEYAAOSw-Jlfhb8Z	
Python programming book lot,$110.00,0,https://www.ebay.com/itm/Python-programming-book-lot/193630643366?hash=item2d154924a6:g:SiMAAOSwoMhfPasz	
